algorithm_name,total_distance,total_nodes,satisfaction_percentage
Direct Matching,2129017.780032656,1000,80.4
Optimized Direct Matching,862965.6193873354,1000,83.0
YouSupply,579436.0209965842,1000,69.73929236499069
ODM + YouSupply,374064.72548850055,325,65.23076923076923
Genetic Algorithm,467969.7621290749,1074,73.04653204565408
Direct Matching,2149316.785645308,1000,82.0
Optimized Direct Matching,817803.874154805,1000,87.0
YouSupply,617362.2114190679,1000,73.17972350230416
ODM + YouSupply,333224.5966497162,291,66.66666666666666
Genetic Algorithm,480774.08718418336,1085,73.00613496932516
Direct Matching,2071130.2466074938,1000,83.8
Optimized Direct Matching,927548.0017456168,1000,86.3
YouSupply,627675.7699998165,1000,72.96296296296296
ODM + YouSupply,447392.29508432193,292,73.97260273972603
Genetic Algorithm,470285.0990755692,1080,73.50352112676056
Direct Matching,2050773.8833913507,1000,81.6
Optimized Direct Matching,750491.7375046338,1000,86.6
YouSupply,617534.3387992547,1000,75.72633552014996
ODM + YouSupply,228051.49509106,259,53.28185328185329
Genetic Algorithm,476926.10966752045,1067,74.82332155477032
Direct Matching,2027720.0121356465,1000,82.6
Optimized Direct Matching,770156.3314241943,1000,86.8
YouSupply,634111.2017303212,1000,74.28307123034227
ODM + YouSupply,319255.91370168346,278,66.18705035971223
Genetic Algorithm,470596.4506300709,1081,72.68798617113224
Direct Matching,2187300.0967358965,1000,83.8
Optimized Direct Matching,896638.588873931,1000,86.5
YouSupply,606419.3783659248,1000,72.31057062675397
ODM + YouSupply,405845.1073552631,296,72.2972972972973
Genetic Algorithm,444775.5829565293,1069,71.27659574468085
Direct Matching,2120273.1023753,1000,82.19999999999999
Optimized Direct Matching,793281.7467217074,1000,86.5
YouSupply,625963.0424375298,1000,74.95327102803738
ODM + YouSupply,283518.4179106843,268,64.92537313432835
Genetic Algorithm,456898.3355880117,1070,73.82012466607301
